id,input_text,label,bucket,group
05a7fc523e1c7fa4,"[SUBJECT] Radiohead [CANDIDATE] Ennio Morricone [CONTEXT] Other influences include the soundtracks of Ennio Morricone, 1960s rock groups such as the Beatles and the Beach Boys, and Phil Spector's ""wall of sound"" production.",1,direction_correct,pos||0455795289cc7d7d5835
dac9a16305cba533,"[SUBJECT] Ennio Morricone [CANDIDATE] Radiohead [CONTEXT] Other influences include the soundtracks of Ennio Morricone, 1960s rock groups such as the Beatles and the Beach Boys, and Phil Spector's ""wall of sound"" production.",0,direction_reversed,pos||0455795289cc7d7d5835
e8cfaa52d7b3197b,"[SUBJECT] Radiohead [CANDIDATE] Autechre [CONTEXT] The electronic music of Kid A was inspired by Yorke's admiration for artists signed to the record label Warp Records, such as Aphex Twin and Autechre.",1,direction_correct,pos||08ccbbcbf02af6db9019
67bdef664088cd9a,"[SUBJECT] Autechre [CANDIDATE] Radiohead [CONTEXT] The electronic music of Kid A was inspired by Yorke's admiration for artists signed to the record label Warp Records, such as Aphex Twin and Autechre.",0,direction_reversed,pos||08ccbbcbf02af6db9019
78dabd44cfb153a4,[SUBJECT] Radiohead [CANDIDATE] Krzysztof Penderecki [CONTEXT] Jonny Greenwood cited the influence of the 20th-century classical composers Krzysztof Penderecki and Olivier Messiaen.,1,direction_correct,pos||676c24f170c51ccfe6aa
1d126d0cb8a71aae,[SUBJECT] Krzysztof Penderecki [CANDIDATE] Radiohead [CONTEXT] Jonny Greenwood cited the influence of the 20th-century classical composers Krzysztof Penderecki and Olivier Messiaen.,0,direction_reversed,pos||676c24f170c51ccfe6aa
64815ed53e5abab3,"[SUBJECT] The Beatles [CANDIDATE] Elvis Presley [CONTEXT] The Beatles' earliest influences include Elvis Presley, Carl Perkins, Little Richard, Chuck Berry and Gene Vincent.",1,direction_correct,pos||c2b19381d1dbd1e9ba06
00100e902803637c,"[SUBJECT] Elvis Presley [CANDIDATE] The Beatles [CONTEXT] The Beatles' earliest influences include Elvis Presley, Carl Perkins, Little Richard, Chuck Berry and Gene Vincent.",0,direction_reversed,pos||c2b19381d1dbd1e9ba06
7e73e773793a211d,"[SUBJECT] The Beatles [CANDIDATE] Carl Perkins [CONTEXT] The Beatles' earliest influences include Elvis Presley, Carl Perkins, Little Richard, Chuck Berry and Gene Vincent.",1,direction_correct,pos||40a3fc182f78fd4c9f44
574b8a2e8ff55cbd,"[SUBJECT] Carl Perkins [CANDIDATE] The Beatles [CONTEXT] The Beatles' earliest influences include Elvis Presley, Carl Perkins, Little Richard, Chuck Berry and Gene Vincent.",0,direction_reversed,pos||40a3fc182f78fd4c9f44
f6759a07d6eb06c2,"[SUBJECT] The Beatles [CANDIDATE] Chuck Berry [CONTEXT] The Beatles' earliest influences include Elvis Presley, Carl Perkins, Little Richard, Chuck Berry and Gene Vincent.",1,direction_correct,pos||90810b23a5320e53fdff
bcf3256831a1833f,"[SUBJECT] Chuck Berry [CANDIDATE] The Beatles [CONTEXT] The Beatles' earliest influences include Elvis Presley, Carl Perkins, Little Richard, Chuck Berry and Gene Vincent.",0,direction_reversed,pos||90810b23a5320e53fdff
8d163d5984d27198,"[SUBJECT] The Beatles [CANDIDATE] Gene Vincent [CONTEXT] The Beatles' earliest influences include Elvis Presley, Carl Perkins, Little Richard, Chuck Berry and Gene Vincent.",1,direction_correct,pos||3ae3e4e90057b2560033
6d26c44f3449ca69,"[SUBJECT] Gene Vincent [CANDIDATE] The Beatles [CONTEXT] The Beatles' earliest influences include Elvis Presley, Carl Perkins, Little Richard, Chuck Berry and Gene Vincent.",0,direction_reversed,pos||3ae3e4e90057b2560033
131516806c0fe7a1,"[SUBJECT] The Beatles [CANDIDATE] Buddy Holly [CONTEXT] Other early influences include Buddy Holly, Eddie Cochran, Roy Orbison, the Everly Brothers and Jerry Lee Lewis.",1,direction_correct,pos||1e950a08bcfd6bee4e28
0a78f6de9131082e,"[SUBJECT] Buddy Holly [CANDIDATE] The Beatles [CONTEXT] Other early influences include Buddy Holly, Eddie Cochran, Roy Orbison, the Everly Brothers and Jerry Lee Lewis.",0,direction_reversed,pos||1e950a08bcfd6bee4e28
dc91ea62dac74ab6,"[SUBJECT] The Beatles [CANDIDATE] Eddie Cochran [CONTEXT] Other early influences include Buddy Holly, Eddie Cochran, Roy Orbison, the Everly Brothers and Jerry Lee Lewis.",1,direction_correct,pos||a50f6bec45dcbd9c407f
88276d9ad6ffbf6a,"[SUBJECT] Eddie Cochran [CANDIDATE] The Beatles [CONTEXT] Other early influences include Buddy Holly, Eddie Cochran, Roy Orbison, the Everly Brothers and Jerry Lee Lewis.",0,direction_reversed,pos||a50f6bec45dcbd9c407f
037d6da50968b762,"[SUBJECT] The Beatles [CANDIDATE] Roy Orbison [CONTEXT] Other early influences include Buddy Holly, Eddie Cochran, Roy Orbison, the Everly Brothers and Jerry Lee Lewis.",1,direction_correct,pos||2f168874f313762d1e6e
9172b63a5dee28e5,"[SUBJECT] Roy Orbison [CANDIDATE] The Beatles [CONTEXT] Other early influences include Buddy Holly, Eddie Cochran, Roy Orbison, the Everly Brothers and Jerry Lee Lewis.",0,direction_reversed,pos||2f168874f313762d1e6e
a15886e0b9699204,"[SUBJECT] The Beatles [CANDIDATE] Everly Brothers [CONTEXT] Other early influences include Buddy Holly, Eddie Cochran, Roy Orbison, the Everly Brothers and Jerry Lee Lewis.",1,direction_correct,pos||beba7f47140e18912bd9
3c20e4ee7e3caac3,"[SUBJECT] Everly Brothers [CANDIDATE] The Beatles [CONTEXT] Other early influences include Buddy Holly, Eddie Cochran, Roy Orbison, the Everly Brothers and Jerry Lee Lewis.",0,direction_reversed,pos||beba7f47140e18912bd9
077bd7d9490a31cc,"[SUBJECT] The Beatles [CANDIDATE] Jerry Lee Lewis [CONTEXT] Other early influences include Buddy Holly, Eddie Cochran, Roy Orbison, the Everly Brothers and Jerry Lee Lewis.",1,direction_correct,pos||e7d4af38fe8b3ff80be6
5f797637b1a36bb5,"[SUBJECT] Jerry Lee Lewis [CANDIDATE] The Beatles [CONTEXT] Other early influences include Buddy Holly, Eddie Cochran, Roy Orbison, the Everly Brothers and Jerry Lee Lewis.",0,direction_reversed,pos||e7d4af38fe8b3ff80be6
58be56f44d21cd28,"[SUBJECT] Brian Eno [CANDIDATE] Terry Riley [CONTEXT] Whilst inspired by the ideas of minimalist composers including John Cage, Terry Riley, Steve Reich.",1,direction_correct,pos||f2628a43c9e600a7f692
7b9c841a851d115d,"[SUBJECT] Terry Riley [CANDIDATE] Brian Eno [CONTEXT] Whilst inspired by the ideas of minimalist composers including John Cage, Terry Riley, Steve Reich.",0,direction_reversed,pos||f2628a43c9e600a7f692
647b4818e3b9bf42,"[SUBJECT] Brian Eno [CANDIDATE] Steve Reich [CONTEXT] Whilst inspired by the ideas of minimalist composers including John Cage, Terry Riley, Steve Reich.",1,direction_correct,pos||aa379379d2a080d2de95
2f399c03517e2122,"[SUBJECT] Steve Reich [CANDIDATE] Brian Eno [CONTEXT] Whilst inspired by the ideas of minimalist composers including John Cage, Terry Riley, Steve Reich.",0,direction_reversed,pos||aa379379d2a080d2de95
b9cafb85a4547d94,[SUBJECT] Neil Young [CANDIDATE] Bob Dylan [CONTEXT] Mitchell recalls Young as having been highly influenced by Bob Dylan at the time.,1,direction_correct,pos||4a2a15206f83cd4dfa8c
335f4e107622d67a,[SUBJECT] Bob Dylan [CANDIDATE] Neil Young [CONTEXT] Mitchell recalls Young as having been highly influenced by Bob Dylan at the time.,0,direction_reversed,pos||4a2a15206f83cd4dfa8c
91c0080b2404635d,"[SUBJECT] The Velvet Underground [CANDIDATE] Leopold von Sacher-Masoch [CONTEXT] ""Venus in Furs"" was inspired by Leopold von Sacher-Masoch's book of the same name.",1,direction_correct,pos||64774107643766e4eddc
42edf33cfab50a62,"[SUBJECT] Leopold von Sacher-Masoch [CANDIDATE] The Velvet Underground [CONTEXT] ""Venus in Furs"" was inspired by Leopold von Sacher-Masoch's book of the same name.",0,direction_reversed,pos||64774107643766e4eddc
376cf60984c52c81,"[SUBJECT] The Smiths [CANDIDATE] James Honeyman-Scott [CONTEXT] Marr's jangly guitar-playing was influenced by James Honeyman-Scott of the Pretenders, and Bert Jansch of Pentangle.",1,direction_correct,pos||6f797760be715dafb7a9
c0a446b687d0f114,"[SUBJECT] James Honeyman-Scott [CANDIDATE] The Smiths [CONTEXT] Marr's jangly guitar-playing was influenced by James Honeyman-Scott of the Pretenders, and Bert Jansch of Pentangle.",0,direction_reversed,pos||6f797760be715dafb7a9
a86b5ff238d12a07,"[SUBJECT] The Smiths [CANDIDATE] Bert Jansch [CONTEXT] Marr's jangly guitar-playing was influenced by James Honeyman-Scott of the Pretenders, and Bert Jansch of Pentangle.",1,direction_correct,pos||9a691072843ea7a05012
d12307a327fbc3b4,"[SUBJECT] Bert Jansch [CANDIDATE] The Smiths [CONTEXT] Marr's jangly guitar-playing was influenced by James Honeyman-Scott of the Pretenders, and Bert Jansch of Pentangle.",0,direction_reversed,pos||9a691072843ea7a05012
06778afba5009205,"[SUBJECT] The Smiths [CANDIDATE] the Cult [CONTEXT] Morrissey's songwriting was influenced by punk rock and post-punk bands such as New York Dolls, the Cramps, the Specials and the Cult.",1,direction_correct,pos||fe543c612881b255a96d
3e21503baba706df,"[SUBJECT] the Cult [CANDIDATE] The Smiths [CONTEXT] Morrissey's songwriting was influenced by punk rock and post-punk bands such as New York Dolls, the Cramps, the Specials and the Cult.",0,direction_reversed,pos||fe543c612881b255a96d
bad4b12ffa7ec3d1,"[SUBJECT] The Smiths [CANDIDATE] Dusty Springfield [CONTEXT] Morrissey's songwriting was influenced by 1960s girl groups and singers such as Dusty Springfield, Sandie Shaw, Marianne Faithfull and Timi Yuro.",1,direction_correct,pos||8b6395c28781436385a1
e0f5fbfda30d9760,"[SUBJECT] Dusty Springfield [CANDIDATE] The Smiths [CONTEXT] Morrissey's songwriting was influenced by 1960s girl groups and singers such as Dusty Springfield, Sandie Shaw, Marianne Faithfull and Timi Yuro.",0,direction_reversed,pos||8b6395c28781436385a1
03ba3a73dd9106a6,"[SUBJECT] The Smiths [CANDIDATE] Sandie Shaw [CONTEXT] Morrissey's songwriting was influenced by 1960s girl groups and singers such as Dusty Springfield, Sandie Shaw, Marianne Faithfull and Timi Yuro.",1,direction_correct,pos||e4d469e9e22cbfd2ce58
25e39e80a25b9f6e,"[SUBJECT] Sandie Shaw [CANDIDATE] The Smiths [CONTEXT] Morrissey's songwriting was influenced by 1960s girl groups and singers such as Dusty Springfield, Sandie Shaw, Marianne Faithfull and Timi Yuro.",0,direction_reversed,pos||e4d469e9e22cbfd2ce58
503b2675892ee674,"[SUBJECT] Joy Division [CANDIDATE] Kraftwerk [CONTEXT] Curtis was inspired by artists such as the Doors, Iggy Pop, David Bowie, Kraftwerk, the Velvet Underground and Neu!.",1,direction_correct,pos||99ab304303e84133f74f
